id,sentence,difficulty;;;;;;;;;;;;
"374,""Malgré les 35 heures, le Bureau of Labor Statistics du ministère fédéral américain du Travail établit ainsi qu'un Français produit davantage de richesses qu'un Anglais, un Allemand ou un Japonais."",C1";;;;;;;;;;;;
"375,""Finies les façades grises et ternes, terminée la morosité ambiante"",B2";;;;;;;;;;;;
"376,""Après avoir lutté contre la philosophie de la réflexion, Hegel doit donc entreprendre une lutte contre la philosophie du romantisme."",C2";;;;;;;;;;;;
377,Mais je ne suis pas tout à fait certain de réussir.,B1;;;;;;;;;;;;
378,Moi je suis pas vraiment d'accord avec ce que dit Monsieur.,A2;;;;;;;;;;;;
"379,""Autrement dit, peut-on se contenter du sentiment de notre liberté pour en déduire son existence certaine"",C2";;;;;;;;;;;;
"380,""Morin : """"Notre mode de connaissance parcellisée prédit des ignorances globales."",B2";;;;;;;;;;;;
"381,""Comme pour les autres sciences, la démarche des enseignants intéressés par les ressources pédagogiques et les formations de La Main à la pâte est une démarche volontaire."",C2";;;;;;;;;;;;
382,Elles cachent une partie de leur douleur,B2;;;;;;;;;;;;
"383,""Fini les pâtes à l'italienne, les gros haricots blancs, les pommes de terre en robe des champs avec du beurre et du bon pain frais."",B2";;;;;;;;;;;;
"384,""Il aime beaucoup lire, surtout le soir avant de dormir"",B1";;;;;;;;;;;;
"385,""Et toi, ça va ?"",A2";;;;;;;;;;;;
"386,""C'est une gifle immatérielle, une ébauche de cruauté, un petit plain-pied sexuel, une indifférence de mâle."",C2";;;;;;;;;;;;
387,Un rocher est une grande masse de pierre dure qui est enracinée dans la terre.,B1;;;;;;;;;;;;
"388,""Je ne mange pas viande, je suis végétarienne."",A1";;;;;;;;;;;;
389,La bave du crapaud n'atteint pas la blanche colombe,C2;;;;;;;;;;;;
"390,""Comme souvent, lorsqu'une technique est émergente, sa finalisation se produit en plusieurs endroits presque simultanément."",C2";;;;;;;;;;;;
391,Je suis professeur.,A1;;;;;;;;;;;;
392,Il ne faut pas toujours aller les demander à la société.,A2;;;;;;;;;;;;
393,C'est parce qu'il n'aimait pas les plats de la cantine.,A1;;;;;;;;;;;;
394,Le journaliste lui a posé des questions auxquelles il a répondu sans hésitations.,B2;;;;;;;;;;;;
395,L'âme mobile de la comtesse embrassa avec enthousiasme l'idée de ce nouveau genre de vie ; il y avait vingt ans qu'elle n'avait habité ce château vénérable s'élevant majestueusement au milieu des vieux châtaigniers plantés du temps des Sforce.,C1;;;;;;;;;;;
"396,""Ceux qui, même adultes, apprennent le breton ou l'apprennent à leurs enfants, sont dignes d'admiration"",C2";;;;;;;;;;;;
"397,""Le 8 juillet, j'ai supprimé l'eau et le lait."",A2";;;;;;;;;;;;
398,Soixante associations de défense de l'environnement et de solidarité sociale ont mis en garde contre une possible exclusion de l'obligation de rénovation énergétique des logements dans la future loi sur le climat.,C2;;;;;;;;;;;;
"399,""Les plaies qui saignent au flanc du Christ, les contradictions essentielles à la raison, il semble que Hegel les voie piu'fois comme une seule et même bIessure."",C2";;;;;;;;;;;;
"400,""Ces derniers, par exemple, privilégient l'achat patriotique pour sa faible empreinte carbone"",B2";;;;;;;;;;;;
401,Ce à quoi s'ajoute l'effet hautement déstabilisateur de la spéculation sur les matières premières.,C1;;;;;;;;;;;;
"402,""Lucien Neuwirth, pionnier de la contraception, est mort dans la nuit de lundi à mardi à 89 ans, des suites d'une infection pulmonaire, à l'hôpital Rossini-Sainte-Périne à Pans"",C1";;;;;;;;;;;;
"403,""Il n'y a là rien d'impossible, estime un député, 75 % des déplacements domicile-travail font aujourd'hui moins de 5 km et 70 % de ces trajets sont faits aujourd'hui en voiture."",B2";;;;;;;;;;;;
404,Je travaille dans un hopital.,A1;;;;;;;;;;;;
405,Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville,B1;;;;;;;;;;;;
"406,""Enfin, elle s'est occupée du nouveau stagiaire et elle lui a expliqué le fonctionnement de l'entreprise ainsi que le règlement intérieur"",B1";;;;;;;;;;;;
"407,""Je proposerai donc quelques pistes pour résoudre ces problèmes, notamment en préconisant l'utilisation d'objets connectés et applications fonctionnant localement, et en suggérant l'utilisation de tables de consentement afin de définir simplement ce à quoi l'utilisateur consent exactement."",C2";;;;;;;;;;;;
"408,""Et surtout, essayez de limiter les paires de chaussures"",B2";;;;;;;;;;;;
"409,""L'accostage terminé, lorsque les chaloupes déversent à terre leurs myriades de poissons étincelants, les femmes qui les empilent à mesure dans des corbeilles ont l'air de brasser un butin barbare"",C1";;;;;;;;;;;;
410,Huit photons au moins sont nécessaires pour permettre la réduction d'une molécule de dioxyde de carbone par l'eau.,B2;;;;;;;;;;;;
"411,""Il n'engendre aucun mouvement alternatif, ce qui réduit les transformations de mouvement, les frottements, les vibrations et le bruit."",C2";;;;;;;;;;;;
412,Il est considéré comme un membre de la famille à part entière.,A2;;;;;;;;;;;;
"413,""Oui, j'ai ouvert un restaurant à Lyon depuis six mois dans le centre ville."",A1";;;;;;;;;;;;
"414,""Selon l'élue du 1er arrondissement, la coupe dans le budget de l'opéra répond aussi aux recommandations récurrentes de la chambre régionale des comptes, reprochant l'impact de l'établissement lyrique dans les finances municipales."",C1";;;;;;;;;;;;
"415,""Aujourd'hui, je vais te présenter ma famille."",A2";;;;;;;;;;;;
"416,""Trop souvent le tourisme est une cause de dégradation de l'environnement ou de désorganisation d'une société traditionnelle alors que le voyageur doit être à l'écoute, tolérant et s'adapter à la vie locale."",B1";;;;;;;;;;;;
"417,""Je vous ai dit, c'est une fille bizarre."",A2";;;;;;;;;;;;
"418,""J'habite à New York, et toi ?"",A1";;;;;;;;;;;;
419,L'accès par voie électronique de l'ensemble des formalités au registre du commerce et des sociétés.,B2;;;;;;;;;;;;
"420,""Il faut avoir les compétences, la technologie, pour les fabriquer, ou utiliser des capsules déjà existantes."",C2";;;;;;;;;;;;
"421,""Il rampait à plat ventre, galopait à quatre pattes, prenait son panier aux dents, se tordait, glissait, ondulait, serpentait d'un mort à l'autre, et vidait la giberne ou a cartouchière comme un singe ouvre une voix."",B2";;;;;;;;;;;;
"422,""Après tout, la façon dont ont s'habille fait partie de sa personnalité, non?"",B1";;;;;;;;;;;;
423,Ce sont des vacances très relaxantes,A1;;;;;;;;;;;;
424,Il faudrait aborder la question le plus tôt possible afin de prendre les mesures coercitives adéquates.,C1;;;;;;;;;;;;
425,C'était sa grande différence entre lui et moi.,B1;;;;;;;;;;;;
426,Je n'ai pas beaucoup d'occasions d'écouter les chansons modernes.,A2;;;;;;;;;;;;
"427,""Il aura de bons rapports avec la dernière femme de son père, Lucrezia Guglielmo Cortigiani, et laissera une note l'appelant """"chère et douce mère""""."",C2";;;;;;;;;;;;
"428,""Le détachement procuré par le statut de voyageur facilite-t-il la transgression des normes, légales ou morales, auxquelles est tenu un individu avec domicile fixe ?"",C2";;;;;;;;;;;;
429,j'aime beaucoup faire du parapente.,A1;;;;;;;;;;;;
430,Moi je pense que l'école ne peut pas tout faire.,A2;;;;;;;;;;;;
"431,""Quand ils se verront, elle pleurera et elle s'évanouira ";" l'émotion sera trop grande."",B1";;;;;;;;;;;
"432,""Elle me répondit avec bonté, me donna des conseils affectueux, m'offrit une amitié sincère, mais me déclara que jusqu'au retour du comte de P *** elle ne pourrait me recevoir."",C2";;;;;;;;;;;;
433,Vraiment?,A1;;;;;;;;;;;;
434,Viens ici!,A1;;;;;;;;;;;;
435,Il annonce qu'il va faire appel.,A2;;;;;;;;;;;;
436,J'ai perdu mes feuilles !,A1;;;;;;;;;;;;
"437,""Dani, est-ce que tu t'es inscrite à ton concours administratif ?"",A1";;;;;;;;;;;;
"438,""Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !"",A1";;;;;;;;;;;;
"439,""Ce précieux instrument, d'origine américaine, envoyait, sans se gêner, un projectile conique de quatre kilogrammes à une distance moyenne de seize kilomètres."",B2";;;;;;;;;;;;
440,Tu es ridicule.,A1;;;;;;;;;;;;
"441,""Choisir un logement n'est pas évident: certains achètent un appartement en ville, d'autres préfèrent une maison à la campagne."",B1";;;;;;;;;;;;
"442,""Plus près de nous, l'internationalisation des marchés financiers, la diffusion de l'information par les médias électroniques et les autres avatars de la mondialisation ont intensifié la menace qui pesait déjà sur les petites langues."",C1";;;;;;;;;;;;
"443,""Ce qui change vraiment, c'est la façon de favoriser l'accès à la connaissance."",B1";;;;;;;;;;;;
"444,""Leurs branches étaient complètement nues, tandis que toutes leurs feuilles étaient tombées par terre."",B2";;;;;;;;;;;;
"445,""De plus, ton inattention augmentera son désir de captiver ton attention, de t'intéresser, de te plaire, la remplira d'un sentiment confus de respect."",C2";;;;;;;;;;;;
"446,""Je poursuivis longtemps de la sorte, levant toutes les objections, retournant de mille manières tous les raisonnements qui plaidaient en ma faveur."",C2";;;;;;;;;;;;
"447,""Soit le commerce équitable est réduit délibérément à une des formes de la politique sociale du libéralisme, faisant prévaloir les oeuvres caritatives sur les droits sociaux, soit il est au contraire un véritable enjeu de société."",C1";;;;;;;;;;;;
"448,""Non, je ne le trouve pas !"",A1";;;;;;;;;;;;
449,Ils ont beaucoup d'idées,A1;;;;;;;;;;;;
450,C'est comme ça tous les jours.,A2;;;;;;;;;;;;
"451,""La conscience malheureuse, c'est donc le mauvais infini tel que la philosophie de Fichte amène à le concevoir."",C2";;;;;;;;;;;;
"452,""Une langue qui n'est pas employée sur Internet """"n'existe plus"""" dans le monde moderne."",B1";;;;;;;;;;;;
"453,""Avant de boire une tasse de café, il faut faire pousser le plan de café, le récolter, le transporter, l'emballer, le vendre et le préparer"",B1";;;;;;;;;;;;
454,La stratégie de sauvegarde des données constitue la pierre angulaire d'un plan de continuité et de reprise car elle va permettre d'assurer le critère de disponibilité.,C1;;;;;;;;;;;;
"455,""Je veux trouver un cadeau d'anniversaire pour ma copine, donc je vais aller au centre commercial"",A2";;;;;;;;;;;;
456,Le ciel était noir.,A2;;;;;;;;;;;;
457,J'aimerais que tu fermes la fenêtre avant de partir.,B1;;;;;;;;;;;;
"458,""Les républicains se disaient outrés par d'anciens commentaires les visant nommément, tandis que des progressistes proches de Bernie Sanders la jugeaient trop centriste."",B2";;;;;;;;;;;;
"459,""A gauche, c'est ma salle de bain, avec vue sur mon jardin. Je me sens très bien dans ma nouvelle maison !"",A2";;;;;;;;;;;;
"460,""Que ces acteurs, telle la marque Max Havelaar, croient ou feignent de croire qu'ils disposent du rapport de force nécessaire pour infléchir les pratiques de ces multinationales, c'est leur droit."",C1";;;;;;;;;;;;
461,Il travaille à Rome,A1;;;;;;;;;;;;
462,Je me débattais intérieurement : j'étais indigné contre moi-même.,C2;;;;;;;;;;;;
"463,""Entre-temps, après avoir réalisé un bénéfice, Piero acheta une plaque décorée d'un coeur transpercé d'une flèche qu'il donna au paysan."",C1";;;;;;;;;;;;
464,Pourquoi on ne peut pas jouer avec Jules et Alice ?,A1;;;;;;;;;;;;
465,Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,C2;;;;;;;;;;;;
466,Alexandre aimait réviser à l'université pour flirter avec des filles de la faculté de droit,B1;;;;;;;;;;;;
"467,""Du moment qu'on a une démocratie, on doit écouter le peuple."",B1";;;;;;;;;;;;
"468,""En revanche, le sapin n'avait pas perdu une seule aiguille."",A2";;;;;;;;;;;;
"469,""Elle n'aime pas les reproches, elle est susceptible."",B1";;;;;;;;;;;;
470,Il y a des régions où les enfants ne vont pas à l'école le mercredi.,A2;;;;;;;;;;;;
471,Il est midi et quize minutes.,A1;;;;;;;;;;;;
472,Il a participé à la construction du canal ?,A2;;;;;;;;;;;;
473,J'adore la cuisine ici,A2;;;;;;;;;;;;
474,J'ai posé le courrier sur la table.,A2;;;;;;;;;;;;
"475,""En plus, comme il faisait très beau on mangeait toujours dans le jardin avec des amis ou des voisins, j'ai beaucoup parlé, tu sais !"",B1";;;;;;;;;;;;
476,Mais la société a évolué et si l'école ne le fait pas il y aura de plus en plus de jeunes comme ceux que décrit Mlle Lesueur.,A2;;;;;;;;;;;;
477,D'où tu viens?,A1;;;;;;;;;;;;
478,Je n'aime pas cette photo.,A1;;;;;;;;;;;;
"479,""Sa grand-mère paternelle, céramiste et proche de Léonard, est peut-être la personne qui l'initia aux arts."",C1";;;;;;;;;;;;
"480,""Nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec les voisins"",A2";;;;;;;;;;;;
481,Je crois que c'est surtout pour me faire plaisir.,A2;;;;;;;;;;;;
482,Ces chiffres sont susceptibles de varier au cours de cette année.,B2;;;;;;;;;;;;
"483,""Le résultat de ces deux études démontrent que chez les personnes par ailleurs en bonne santé et menant un train de vie normal, les valeurs en ferritine n'influencent pas à elles seules des degrés de fatigue divers."",C2";;;;;;;;;;;;
"484,""La fenêtre s'est refermée sur ma main, ça fait mal."",B1";;;;;;;;;;;;
485,Le restaurant n'est pas loin du musée du Louvre,A1;;;;;;;;;;;;
"486,""Liberté privée, ordre public: telle est l'équation fétiche des Français."",B2";;;;;;;;;;;;
487,Il veut aller à la montagne,A2;;;;;;;;;;;;
488,Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux,B1;;;;;;;;;;;;
"489,""Inversement, les régions tempérées lointaines n'intéressent que médiocrement les colonisateurs jusqu'à l'explosion démographique du Vieux Continent au XIXe siècle, moment où les """"pays neufs"""" deviennent des prolongements européens."",C2";;;;;;;;;;;;
"490,""Les gourmets, adeptes de bistronomie, s'en voient souvent proposé en plateau accompagné de fruits secs, voire de confiture ";" un mélange sucré salé qui sied parfaitement aux apéritifs dinatoires si chers aux papilles hexagonales."",C2";;;;;;;;;;;
491,Un héritier : un héritier est une personne qui reçoit des droits ou un patrimoine après la mort d'une personne.,A2;;;;;;;;;;;;
492,Je m'appelle Jessica,A1;;;;;;;;;;;;
493,Je vous remercie et je vous souhaite une très bonne journée.,A2;;;;;;;;;;;;
"494,""On ne pouvait citer aucune action condamnable "; on ne pouvait même m'en contester quelques-unes qui semblaient annoncer de la générosité ou du dévouement ;" mais on disait que j'étais un homme immoral, un homme peu sûr : deux épithètes heureusement inventées pour insinuer les faits qu'on ignore, et laisser deviner ce qu'on ne sait pas."",C2";;;;;;;;;;
495,Tu dois te couper les ongles.,A2;;;;;;;;;;;;
"496,""Avec la distanciation sociale, les occasions de se réunir ont également été moins fréquentes."",B2";;;;;;;;;;;;
"497,""Le dessein de lui plaire, mettant dans ma vie un nouvel intérêt, animait mon existence d'une manière inusitée."",C2";;;;;;;;;;;;
"498,""Comme mon père parlait toujours du côté de Méséglise comme de la plus belle vue de la plaine qu'il connût et du côté de Guermantes comme du type de paysage de rivière, je leur donnais, en les concevant ainsi comme deux entités, cette cohésion, cette unité qui n'appartiennent qu'aux créations de notre esprit ";" la moindre parcelle de chacun d'eux me semblait précieuse et manifester leur excellence particulière, tandis qu'à côté d'eux, avant qu'on fût arrivé sur le sol sacré de l'un ou de l'autre, les chemins purement matériels au milieu desquels ils étaient posés comme l'idéal de la vue de plaine et l'idéal du paysage de rivière, ne valaient pas plus la peine d'être regardés que par le spectateur épris d'art dramatique les petites rues qui avoisinent un théâtre."",C2";;;;;;;;;;;
"499,""Si vous voulez attendre au bar, on vous appellera quand ce sera prêt."",A2";;;;;;;;;;;;
"500,""Cet emballage innovant, allié au développement des lignes de chemin de fer, permit la distribution du camembert dans d'autres régions de France, mais aussi à l'étranger."",B2";;;;;;;;;;;;
"501,""La vie, en outre, est composée des choses les plus différentes, les plus imprévues, les plus contraires, les plus disparates";" elle est brutale, sans suite, sans chaîne, pleine de catastrophes inexplicables, illogiques et contradictoires qui doivent être classées au chapitre faits divers."",C1";;;;;;;;;;;
502,Il regarde la télévision.,A1;;;;;;;;;;;;
503,Le démon voulait trouver une cachette pour ne pas revoir la méchante femme.,B1;;;;;;;;;;;;
504,Dénoncer une discrimination collectivement acceptée est difficile.,B2;;;;;;;;;;;;
505,je suis déjà en train de sortir du lit.,A2;;;;;;;;;;;;
506,Les églises sont animées,B2;;;;;;;;;;;;
"507,""Certains métiers vont disparaître, mais d'autres apparaître."",C2";;;;;;;;;;;;
508,Mais cette révolution ne se manifeste pas seulement dans notre vie quotidienne.,B1;;;;;;;;;;;;
"509,""Rares sont celles qui, comme le basque, l'égyptien, le chinois, le grec, l'hébreu, le latin, le persan, le sanskrit, le tamoul et quelques autres ont soufflé leurs 2 000 bougies."",C1";;;;;;;;;;;;
"510,""Il a une longue expérience dans un grand nombre de restaurants, mais moins en restauration collective."",B1";;;;;;;;;;;;
"511,""C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo."",B1";;;;;;;;;;;;
"512,""Un seigneur quelque peu infernal les attire, un sourire dangereux les trouble."",C1";;;;;;;;;;;;
"513,""Néanmoins, l'existence d'êtres divins n'étant pas un fait prouvé on peut rester sceptique sur les origines du travail relatées précédemment"",C2";;;;;;;;;;;;
514,Comme un rappel du massacre des quelque 60 millions de bisons orchestré à la fin du XIXe siècle pour venir à bout des Peaux Rouges.,C1;;;;;;;;;;;;
"515,""Suen (Liebowitz, 2000), sont éloquents sur la dispersion et la variété des modes de mesure de ce type en cours aujourd'hui dans les entreprises"",C2";;;;;;;;;;;;
"516,""Les égouts soufflaient par leurs bouches de granit leurs haleines empestées, et les cuisines souterraines jetaient à la rue, par leurs fenêtres basses, les miasmes infâmes des eaux de vaisselle et des vieilles sauces."",C2";;;;;;;;;;;;
517,Qu'est-ce que tu regardes ?,A1;;;;;;;;;;;;
518,C'est pour moi une grande déception de ne pas pouvoir vous accueillir à Zurich,B1;;;;;;;;;;;;
"519,""Au Nord la forêt, au Sud de hautes montagnes les séparaient presque entièrement du reste du monde."",B2";;;;;;;;;;;;
520,Il n'y a pas beaucoup de voitures donc il n'y a pas d'embouteillage,B1;;;;;;;;;;;;
"521,""Certaines entreprises refusent systématiquement les quinquas, s'insurge Danièle Lepeu, qui dirige l'agence seniors de la société de travail temporaire Adecco, à Boulogne-Billancourt."",C1";;;;;;;;;;;;
"522,""Ce soir, il perd de sa puissance"",A2";;;;;;;;;;;;
523,Il y a un nouveau film avec son acteur préféré,A2;;;;;;;;;;;;
524,Ma mère m'a exceptionnellement laissé boire du vin chaud même si je n'ai normalement pas le droit,B1;;;;;;;;;;;;
"525,""J'ai pas peur de dire """"non"""" après c'est vraiment une question de feeling"",A2";;;;;;;;;;;;
526,Il hochait la tête doucement tout en regardant mon avion.,B1;;;;;;;;;;;;
"527,""700 000 tonnes de couches usagées sont jetées chaque année au Japon, ce qui représente jusqu'à 25 % des déchets incinérés dans certaines communes."",B2";;;;;;;;;;;;
"528,""Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants"",A1";;;;;;;;;;;;
"529,""Bonjour. Puis-je avoir votre passeport et votre billet, s'il-vous-plaît ?"",A1";;;;;;;;;;;;
"530,""Toutes ces données indiquent """"que le problème de la malnutrition devient plus complexe et que les stratégies de lutte des pays et des organisations internationales devront s'attaquer au triple fardeau qui pèse désormais sur les pays en développement : les maladies infectieuses, les carences alimentaires et les maladies chroniques liées à la surcharge pondérale"""", précise Francis Delpeuch."",C1";;;;;;;;;;;;
"531,""C'est pourquoi, dans le désert, les premiers déplacements s'effectuent tôt le matin, avant 8 h 30, pour profiter de la fraîcheur persistante de la nuit."",B2";;;;;;;;;;;;
"532,""Et puis surtout, j'attendais ton arrivée"",A2";;;;;;;;;;;;
533,Les ressources disponibles en ligne peuvent faciliter l'apprentissage des lycéens.,B2;;;;;;;;;;;;
534,Ne renonce jamais aux cruautés qui vivifient la passion et lui redonnent du lustre.,C1;;;;;;;;;;;;
535,Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde,B1;;;;;;;;;;;;
"536,""Pour les habitants des quartiers historiques, la vie n'est plus la même : les rues pleines de touristes perdent peu à peu leurs magasins de quartier."",B1";;;;;;;;;;;;
537,Disons que la coopération fait partie de l'arsenal pédagogique des élèves.,C1;;;;;;;;;;;;
538,Eus-tu sorti les abats congelés du frigo hier soir afin qu'ils soient à température ambiantes pour le repas de ce midi ?,C1;;;;;;;;;;;;
539,Il est très satisfait de votre travail.,B1;;;;;;;;;;;;
540,Virginie adore les vacances à la mer,A1;;;;;;;;;;;;
"541,""J'ai déjà pris l'avion car nous sommes allés à Rome en Italie, il y a deux ans"",A1";;;;;;;;;;;;
542,Une deuxième balle fit étinceler le pavé à côté de lui.,B2;;;;;;;;;;;;
"543,""Si l'épicerie de quartier avait été ouverte en ce jour congé, comme indiqué sur le panneau informatif nous aurions acheté du lait et du sirop d'érable pour préparer du pain perdu aux enfants."",B2";;;;;;;;;;;;
"544,""Dès sa mise sous tension, un ordinateur exécute, l'une après l'autre, des instructions qui lui font lire, manipuler, puis réécrire un ensemble de données déterminées par une mémoire morte d'amorçage."",C2";;;;;;;;;;;;
545,Elle a 20 ans,A1;;;;;;;;;;;;
546,Une étude montre que ce vaccin offre un taux de protection élevé qui permet d'éviter l'hospitalisation.,B2;;;;;;;;;;;;
"547,""En même temps que les idées, la mode, les critères de comportement social, empruntés à la France, vont peu à peu façonner la société policée de l'Europe continentale et même dans une certaine mesure de l'Angleterre."",C2";;;;;;;;;;;;
"548,""Elle prendra un pseudonyme masculin pour poursuivre ses travaux qui, revisités il y a peu, ont montré qu'elle avait imaginé les prémisses des travaux de Poincaré."",B2";;;;;;;;;;;;
"549,""Désolé pour le retard, nous sommes très occupés ce soir."",A2";;;;;;;;;;;;
550,Je suis allée voir un film d'humour en plein air avec mon petit copain.,A2;;;;;;;;;;;;
551,Celle‐ci est idéalement réduite dans la mesure du possible à travers la définition de critères de classification clairs et par la triangulation des points de vue des experts du domaine.,B2;;;;;;;;;;;;
552,Je ne suis jamais content.,A1;;;;;;;;;;;;
553,Très bonne journée à toi !,A1;;;;;;;;;;;;
554,Il doit se dépêcher pour ne pas être en retard à l'école.,A2;;;;;;;;;;;;
"555,""Si j'appuie là, c'est douleureux."",A2";;;;;;;;;;;;
"556,""Je dirais qu'Andy Warhol est l'artiste le plus complexe, multi-facettes et révolutionnaire de ces soixante dernières années."",B2";;;;;;;;;;;;
"557,""Ils ont quitté en urgence leur maison, à l'approche des flammes et ont décidé de dormir dans leur voiture très équipée"",B1";;;;;;;;;;;;
558,Elle était heureuse,A2;;;;;;;;;;;;
"559,""La seconde modernité y adjoint un individualisme plus concret qui valorise la construction des identités de chacun et de chacune, puisque l'émancipation des femmes ressortit de cette période."",C1";;;;;;;;;;;;
560,Il achète des légumes et des fruits.,A1;;;;;;;;;;;;
561,Nous sommes en retard.,A1;;;;;;;;;;;;
"562,""Aussitôt installés derrière nos pupitres, nous commençâmes la discussion thématique inscrite à l'ordre du jour."",C2";;;;;;;;;;;;
"563,""Il existera bien sûr des moyens détournés de tricher, mais l'accent sera mis sur la dissuasion, à la manière des contrôles antidopage, l'autre condition étant évidemment d'imaginer des sujets qui ne se prêtent pas au copier-coller."",B2";;;;;;;;;;;;
"564,""Selon les auteurs de l'article Cahiers santé, l'accès facile à des huiles peu onéreuses a joué un rôle prépondérant en raison d'une production industrielle généralisée à bas prix."",C1";;;;;;;;;;;;
565,Cela nécessite des équipements et suffsamment de place.,B2;;;;;;;;;;;;
"566,""Vers dix heures, je monte dans ma chambre."",A2";;;;;;;;;;;;
"567,""Innovation et simplicité sont les jalons du seul chemin à parcourir pour retrouver concrètement et durablement un élan créatif adapté à un monde qui change, évolue mais reste friand de bonnes choses."",C1";;;;;;;;;;;;
568,Parce que jamais je céderai devant la barbarie.,B1;;;;;;;;;;;;
"569,""Dans ces lieux imaginés, rien ne nous perturbera"",C2";;;;;;;;;;;;
"570,""J'habite au Niger, et vous ?"",A1";;;;;;;;;;;;
"571,""Pis ensuite Champlain poursuit l'exploration du Québec, qui à l'époque s'appelait la Nouvelle France"",C1";;;;;;;;;;;;
572,Les profils retenus seront rappelés pour participer aux entretiens et aux quarante-deux heures de concours.,B2;;;;;;;;;;;;
"573,""Paul Andreu, l'architecte de l'aéroport de Roissy (du terminal 1 au terminal 2E-K) ainsi que de l'Opéra de Pékin entre autres, s'était demandé s'il devait installer des portes automatiques dans un aéroport qu'il était en train de concevoir comme le requérait tout aéroport digne de ce nom car, après un rapide calcul à partir des conditions locales, le coût d'achat et surtout de maintenance d'une porte automatique revenait plus cher que le salaire d'un portier qui pouvait nourrir une famille avec."",B2";;;;;;;;;;;;
574,Tu as passé une bonne journée.,A1;;;;;;;;;;;;
575,La vie en France est très différente de celle au Canada.,A1;;;;;;;;;;;;
576,C'est bientôt l'anniversaire de Julie.,A1;;;;;;;;;;;;
"577,""Trop de charlatans et songe-creux en partie malhonnêtes, en partie dupes de leur propre enthousiasme, ont fait au genre humain de magnifiques promesses qu'ils étaient bien empêchés de tenir."",C2";;;;;;;;;;;;
"578,""Au milieu de ces collines aux formes admirables et se précipitant vers le lac par des pentes si singulières, je puis garder toutes les illusions des descriptions du Tasse et de l'Arioste."",C1";;;;;;;;;;;;
579,Tu parles bien anglais.,A1;;;;;;;;;;;;
